X Y Z Yaw
0.5 -0.75 2.75 0
1 -1.5 2.5 0
2.25 -2.75 2.75 90 
1.75 -3.25 2.25 90
2.25 -3.25 2.25 90
2.75 -3.25 2.25 90
2.75 -3.25 2.75 90
5.25 -2.75 2.25 90
5.25 3.75 2.25 270
5.25 3.75 2.75 270
4.75 3.75 2.75 266
3.75 3.75 2.75 266
2.75 3.75 2.25 270
2.75 3.75 2.75 270
2.25 3.75 2.75 270
2.25 3.75 2.25 270
1.75 3.25 2.25 270
